Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,Configuration settings window,GMC-12,Configuring Probe 2 Configuration,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Probe Selection under EM Parameters and choose Probe 2.
5. Click on Probe 2 Configuration -> Try to configure Probe 2 Configuration",User should able to configure Probe 1 Configuration when Probe 2 is active,,,,,,,,,
,Positive,Configuration settings window,GMC-13,Configuring Both Probes  Configuration,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Probe Selection under EM Parameters and choose Both Probes.
5. Click on Probe1, 2 Configuration -> Try to configure both Probe 1 and Probe 2 Configuration",User should able to configure both Probe 1 and Probe 2 Configuration.,,,,,,,,,
,Positive,Configuration settings window,GMC-14,Configuring Probe 1 Units,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Probe Selection under EM Parameters and choose Probe 1.
5. Click on Probe 1 Unit -> Try to change the value as required",User should able to set the required units for Probe 1,,,,,,,,,
,Positive,Configuration settings window,GMC-15,Configuring Probe 2 Units,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Probe Selection under EM Parameters and choose Probe 2.
5. Click on Probe 2 Unit -> Try to change the value as required",User should able to set the required units for Probe 2,,,,,,,,,
,Positive,Configuration settings window,GMC-16,Configuring Probe 2 Units,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Probe Selection under EM Parameters and choose Both Probes.
5. Click on Probe 1, 2 Unit -> Try to change the value as required",User should able to set the required units for both Probe 1 and 2,,,,,,,,,
,Positive,Configuration settings window,GMC-17,Configuring Frequency Index,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Frequency Index under EM Parameters -> Try to set the frequency as required",User should able to set the required channel successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-18,Activate/Deactivate 900 MHz State,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Toggle button beside 900 MHz to activate or deactivate its state",User shoukd able to activate / deactivate 900 MHz state by toggling accordingly,,,,,,,,,
,Positive,Configuration settings window,GMC-19,Enable/ Disable Wifi Check-in,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Wifi Check-in -> Try to Enable and Disable accordingly",User should able to Enable/Disable Wifi Check-in successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-20,Configuring Wfi Check-in Interval,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Wifi Check-in Interval -> Set the value accordingly",User should able to set the required value for Wifi Check-in Interval successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-21,Configuring Wifi Retry,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Wifi Retry under EM Parameters -> Set the retry value ",User should able to set Wifi Retry value successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-22,Configuring Local Alert,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Local alert under Alert Configuration and set the value as required",User should able to set Local Alert to any required value successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-23,Configuring Alarm Volume,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Alarm Volume under Alert Configuration and set the value as required",User should able to set Alarm volume to any required value successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-24,Configuring Alarm Duration,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Alarm Duration under Alert Configuration and set the value as required",User should able to set Alarm duration to any required value successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-25,Configuring Alert Range for Probe 1,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Choose Probe 1 under Probe selection -> Choose Temperature under Probe 1 Configuration
5. Click on Alert Range under Alert Configuration and set the value for Probe 1 as required",User should able to set the Alert range for Probe 1 as required successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-26,Configuring Alert Range for Probe 2,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Choose Probe 2 under Probe selection -> Choose Temperature under Probe 2 Configuration
5. Click on Alert Range under Alert Configuration and set the value for Probe 2 as required",User should able to set the Alert range for Probe 2 as required successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-27,Configuring Alert Range for Both Probes,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Choose Both Probes under Probe selection -> Choose Temperature under Probe 1 & 2 Configuration
5. Click on Alert Range under Alert Configuration and set the value for Both Probes as required",User should able to set the Alert range for both probes as required successfully,,,,,,,,,
,Negative,Configuration settings window,GMC-28,Configuring Alert Range when Configuration is Door Ajar,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Choose any Probes under Probe selection -> Choose Door Ajar under Probe Configuration
5.Check for Alert range",User should not able to set any value under Alert range,,,,,,,,,
,Positive,Configuration settings window,GMC-29,Configuring BLE UUID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Try to edit UUID under BLE Configuration",User should able to configure UUID for BLE successfully,,,,,,,,,
,Negative,Configuration settings window,GMC-30,Configuring BLE UUID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Add invalid UUID under BLE Configuration -> Save","User should get a alert message saying ""UUID is not vlid""",,,,,,,,,
,Positive,Configuration settings window,GMC-31,Configuring BLE Major and Minor version,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Add valid Major and Minor version under BLE Configuration",User should able to configure BLE major and minor version successfully,,,,,,,,,
,Negative,Configuration settings window,GMC-32,Configuring BLE Major and Minor version,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. i) Don't add any value for Major or Minor version under BLE Configuration
 ii) Add version which is greater than 65535
5. Save configuration","User should get a alert message saying ""Major / Minor value should be between 0 and 65535""",,,,,,,,,
,Positive,Configuration settings window,GMC-33,Configure Beacon Rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Set value for Beacon Rate under BLE Configuration  as required",User should able to set any value from list to Beacon rate,,,,,,,,,
,Positive,Configuration settings window,GMC-34,ConfigureWif Channels,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Channels under Wifi CCX Configuration -> Select channels according to requirement",User should able to set any channels successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-35,ConfigureWif Bitrate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Bitrate under Wifi CCX Configuration -> Select any Bitrate as required",User should able to set any Bitrate value successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-36,Wifi Tx Power,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Check Tx Power under Wifi CCX Configuration",Should able to see TX Power for selected sensor in read only mode,,,,,,,,,
,Positive,Configuration settings window,GMC-37,Configure Wifi Retry,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Click on Retry under Wifi CCX Configuration -> Set Retry value for selected sensor -> Save","User should able to set any value for Retry 
Retransmission of data should be same as the set value ",,,,,,,,,
,Positive,Configuration settings window,GMC-38,Configure Display State,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Turn off / on Display under display Settings",User should able to Turn on/off display and it should be reflect in sensor accordingly,,,,,,,,,
,Positive,Configuration settings window,GMC-39,Configure Display Orientation,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on EM Settings
4. Turn on Display -> Click on Display Orientation -> Choose the display type -> Save",User should able to set Display orientation and same setting should reflect in the  sensor accordingly,"When we turn off display, we don't need display orientation but now we can set orientation even if the display is off",,,,,,,,
,Positive,Configuration settings window,GMC-40,Configure DNS state,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Turn On / Off DNS state",User should able to configure DNS state successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-41,Configure DHCP state,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Turn On / Off DHCP state",User should able to configure DHCP state successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-42,Configure Static IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Disable DHCP state -> Configure Static IP",User should able to configure Static IP when DHCP is disabled,,,,,,,,,
,Negative,Configuration settings window,GMC-43,Configure Static IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Enable DHCP state -> Try to Configure Static IP",User should not be able to configure Static IP when DHCP is enabled,,,,,,,,,
,Positive,Configuration settings window,GMC-44,Configure Subnet,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Disable DHCP state -> Configure Subnet",User should able to configure Subnet when DHCP is disabled,,,,,,,,,
,Negative,Configuration settings window,GMC-45,Configure Subnet,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Enable DHCP state -> Configure Subnet",User should not be able to configure Subnet when DHCP is enabled,,,,,,,,,
,Positive,Configuration settings window,GMC-46,Configure Gateway IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Disable DHCP state -> Configure Gateway IP",User should able to configure Gateway IP when DHCP is disabled,,,,,,,,,
,Negative,Configuration settings window,GMC-47,Configure Gateway IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Enable DHCP state -> Configure Gateway IP",User should not be able to configure Gateway IP when DHCP is enabled,,,,,,,,,
,Positive ,Configuration settings window,GMC-48,Configure Server IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Configure Server IP",User should able to configure Server IP for selected sensor,,,,,,,,,
,Negative,Configuration settings window,GMC-49,Configure Server IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Add invalid Server IP or leave the space empty -> Save","User should get Alert message ""Server IP is not valid"" / ""Server Ip field is empty""",,,,,,,,,
,Positive ,Configuration settings window,GMC-50,Configure Port,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Configure Port",User should able to configure Port for selected sensor,,,,,,,,,
,Negative,Configuration settings window,GMC-51,Configure Port,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Don't add Port -> Save","User should get a Alert message saying ""Port Number field is empty""",,,,,,,,,
,Positive,Configuration settings window,GMC-52,Configure SSID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Configure SSID for selected sensor",User should able to configure  SSID successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-53,Configure Password,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Configure password for selected sensor",User should able to configure  password successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-54,Configure Username when Security Type = WPA Enterprise,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose WPA Enterprise under Security Type
5. Configure username",User should able to configure  username successfully when Security Type is WPA Enterprise ,,,,,,,,,
,Negative,Configuration settings window,GMC-55,Configure Username when Security Type is not WPA Enterprise,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose any Security Type other than WPA Enterprise
5. Configure username",User should not be able to configure username,,,,,,,,,
,Positive,Configuration settings window,GMC-56,Perform FW upgrade by using Upgrade button,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Upgrade button in the window -> Select version for the upgrade (If there are no Firmare files, need to download from server) -> Click OK","User should able to perform FW Upgrade by using Upgrade button successfully
The upgrade version should be reflect accordingly",,,,,,,,,
,Positive,Configuration settings window,GMC-57,Setting Wi-fi Check-in Trmination timeout to 2 sec,None,TBD,TBD,TRD-CFGWND-453,,,,,,,,
,Positive,Configuration settings window,GMC-58,Setting Wi-fi Check-in Trmination timeout to 20 sec,None,TBD,TBD,TRD-CFGWND-455,,,,,,,,
,Positive,Configuration settings window,GMC-59,Setting Wi-fi Check-in Trmination timeout to 5 sec,None,TBD,TBD,TRD-CFGWND-514,,,,,,,,
,Positive,Configuration settings window,GMC-60,Configure Security Type to Open/None,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as Open/None -> Click OK",User should able to set Security type as Open/None successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-61,Configure Security Type to WPA/WPA2 Personal,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as WPA/WPA2 Personal -> Click OK",User should able to set Security type as WPA/WPA2 Personal successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-62,Configure Security Type to WPA Enterprise ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as WPA Enterprise -> Click OK",User should able to set Security type as WPA Enterprise  Personal successfully,,,,,,,,,
,Positive,Configuration settings window,GMC-63,Setting EAP Method when Security Type = WPA Enterprise,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as WPA Enterprise
5. EAP method should be selectable","User should able to select EAP method when Security Type is WPA Enterprise and it should contain below options:
- TLS
- TTLS_TLS
- TTLS_MSCHAPv2
- TTLS_PSK
- PEAP0_TLS
- PEAP0_MSCHAPv2
- PEAP0_PSK
- PEAP1_TLS
- PEAP1_PSK
- FAST_AUTH_PROVISIONING
- FAST_UNAUTH_PROVISIONING
- FAST_NO_PROVISIONING",,,,,,,,,
,Negative,Configuration settings window,GMC-64,Setting EAP Method when Security Type = Open/None,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as Open/None
5.Check EAP Method","User should not be able to select any EAP method, it should be non selectable",,,,,,,,,
,Negative,Configuration settings window,GMC-65,Setting EAP Method when Security Type = WPA/WPA2 Personal,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings -> Click on Network Settings
4. Choose Security Type as WPA/WPA2 Personal
5.Check EAP Method","User should not be able to select any EAP method, it should be non selectable",,,,,,,,,
,Positive,Configuration settings window,GMC-66,Write certificate button,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Look for Write Certificate button",G4 EM manager should support Write certificate in Configuration window,,,,,,,,,
,Positive,Configuration settings window,GMC-67,Write certificate button,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Look for Write Certificate button -> Click on it -> Press Yes -> Choose Certificate and Write (If there are no certificates, need to download from Server)","1. G4 EM manager should alow write certificate if the Security Type is WPA Enterprise to writeenerprise security certificates over BLE
2. Should get Alert message if Security Type is not set to WPA Enterprise",,,,,,,,,
,Positive,Configuration settings window,GMC-68,Commad button,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Look for Command button",G4 EM manager should support Command in Configuration window,,,,,,,,,
,Positive,G4 Command and Control,GMC-69,Sending Wifi Wakeup command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Wifi Wakeup -> Press OK","1. User should able to send Wifi Wakeup command successfully over BLE
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,G4 Command and Control,GMC-70,Sending Inventory Sleep command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Inventory Sleep -> Press OK","1. User should able to send Inventory Sleep command successfully over BLE
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,G4 Command and Control,GMC-71,Sending Tag Reset command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Tag Reset -> Press OK","1. User should able to send Tag Reset command successfully over BLE 
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,G4 Command and Control,GMC-72,Sending Alert Reset command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Alert Reset -> Press OK","1. User should able to send Alert Reset command successfully over BLE
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,G4 Command and Control,GMC-73,Sending Clear Temp Min/Max command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Clear Temp Min/Max -> Press OK","1. User should able to send Clear Temp Min/Max command successfully over BLE
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,G4 Command and Control,GMC-74,Sending Alert suppress for 1 hour command,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on Configuration Settings
4. Click on Command button -> Choose Alert suppress for 1 hour -> Press OK","1. User should able to send Alert suppress for 1 hour command successfully over BLE
2. It should be reflected on the sensor side",,,,,,,,,
,Positive,Historical Data Window,GMC-75,Pulling Historical data,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for Historical data button in main window -> Click on the button
4.Click on Refresh ","1. Should support pulling a maximum of 576 fields of historical data at one time
",,,,,,,,,
,Positive,Historical Data Window,GMC-76, Historical data window,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for Historical data button in main window -> Click on the button
4.Click on Refresh 
","1. Historical data window should show all historical data pulled from server
2. Any addittional newer fields should show when Refresh button is pressed again",,,,,,,,,
,Positive,Historical Data Window,GMC-77,Clear Button,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for Historical data button in main window -> Click on the button -> Click on Refresh
4. Click on Clear
",Clear button should clear the historical data window without clearing any historical data on G4 sensor,,,,,,,,,
,Positive,Historical Data Window,GMC-78,Historical window Table view,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for Historical data button in main window -> Click on the button -> Click on Refresh
4. Switch to Table view
",Historical data window should support Table view for the fields of data,,,,,,,,,
,Positive,Historical Data Window,GMC-79,Historical window Graphical view,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for Historical data button in main window -> Click on the button -> Click on Refresh
4. Switch to Graphical view
",Historical data window should support Graphical view for the fields of data,,,,,,,,,
,Positive,Main window,GMC-80,FW version,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for FW version under Device information
",User should show proper FW version of sensor in read only mode ,,,,,,,,,
,Positive,Main window,GMC-81,Alert range for Port 1,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for alert range below the particular probe in the main window",User should able to see Alert range for Probe 1 in the main window if Probe 1 is active,,,,,,,,,
,Positive,Main window,GMC-82,Alert range for Port 2,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Look for alert range below the particular probe in the main window",User should able to see Alert range for Probe 2 in the main window if Probe 2 is active,,,,,,,,,
,Positive,Main window,GMC-83,Unique ID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check unique ID of selected sensor in the main window",User should able to see unique ID of a selected sensor (Ex - G4 EM Tag 8457892),,,,,,,,,
,Positive,Main window,GMC-84,MAC Address,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check MAC Address of selected sensor in the main window",User should able to see MAC Address of a selected sensor (Ex - 00:12:B8:77:E6:E4 ),,,,,,,,,
,Positive,Main window,GMC-85,Communication mode,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for Communication mode of a sensor in the main window",User should able to see Communication mode of a  selected sensor,Unable to see Communication mode in main window,,,Can raise a ticket,,,,,
,Positive,Main window,GMC-86,Measurement rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for Measurement rate for a sensor in the main window",User should able to see Measurement rate of a  selected sensor,,,,,,,,,
,Positive,Main window,GMC-87,Report Rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check Report rate of a sensor",User should able to see Report rate for selected sensor in the main window,,,,,,,,,
,Positive,Main window,GMC-88,Probe 1 Sensor Type,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for Sensor type for Probe 1 if Probe 1 is active",User should able to see Sensor type for Probe 1 in the main window,,,,,,,,,
,Positive,Main window,GMC-89,Probe 2 Sensor Type,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for Sensor type for Probe 2 if Probe 2 is active",User should able to see Sensor type for Probe 2 in the main window,,,,,,,,,
,Positive,Main window,GMC-90,Alert state,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for Alert state of a selecteds sensor",User should able to see Alert state of a selected sensor in the main window ,,,,,,,,,
,Positive,Main window,GMC-91,DC Jack state,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Check for current DC Jack Detection state of a sensor",User should able to see DC Jack detection state in the main window,,,,,,,,,
,Positive,View Settings Window,GMC-92,Network Type info,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Network type of a selected sensor under Configuration",User should able to see Network type in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-93,Model number,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Model number of a selected sensor under EM Parameters",User should able to see Model number in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-94,Local Alert,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Local alert of a selected sensor under EM Parameters",User should able to see local alert in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-95,Alarm Volume,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Alarm volume of a selected sensor under EM Parameters",User should able to see alarm volume in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-96,Alarm Duration,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Alarm duration of a selected sensor under EM Parameters",User should able to see alarm duration in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-97,Measurement Rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Measurement rate of a selected sensor under EM Parameters",User should able to see measurement rate in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-98,Report Rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Report rate of a selected sensor under EM Parameters",User should able to see report rate in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-99,Frequency index,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Frequency index of a selected sensor under EM Parameters",User should able to see frequency index in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-100,900 MHz State,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check 900 MHz state of a selected sensor under EM Parameters",User should able to see proper state of a 900MHz in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-101,Wifi Retry ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Wifi retry count for a selected sensor under EM Parameters",User should able to see correct wifi retry count in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-102,Wifi Retry ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Wifi retry count for a selected sensor under EM Parameters",User should able to see correct wifi retry count in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-103,Probe Selection,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Probe selection of a selected sensor under EM Parameters",User should able to see correct Probe selection in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-104,Probe 1 Sensor Type,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe 1 Sensor type under EM Parameters",User should able to see Probe 1 Sensor type in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-105,Probe 2 Sensor Type,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe 2 Sensor type under EM Parameters",User should able to see Probe 2 Sensor type in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-106,Probe 1 Alert Range,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe 1 alert range type under EM Parameters if Probe 1 is active",User should able to see proper Probe 1 alert range in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-107,Probe 2 Alert Range,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe 2 alert range type under EM Parameters if Probe 2 is active",User should able to see proper Probe 2 alert range in read only mode,,,,,,,,,
