Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Negative,OTA- Over-the-Air Update,OTA_12,Shut down during half download,Tag is paired,"Initiate the new FW to Tag
Reduce the voltage in half the way during download
Check for Tag status","Tag should not download new FW image during LVD
Tag should retain the previous FW image in internal memory and should be in normal condition      
After inserting new batteries and press of any key should reconnect to the Target",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_13,Clear the pairing from Tag during download,Tag is paired,"Initiate FW download.
Stop OTA by unpairng the Star from Tag and check  for Tag status",Tag should exit from the OTA download and retain its previous state,,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_14,Interrupt from CoreServer/Tool for the Tag during download,Tag is paired,"Initiate OTA from CoreServer/Tool.
While OTA is in Progress Interrupt the process from CoreServer/Tool

After the OTA is interupted check for the Original image
",Tag should  exit from the OTA download and retain the Original image ,,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_15,System recovery if OTA update fails.,Tag is paired,"Initiate OTA on Tag
Unpair the Tag/switch of the Tag while OTA is in progress
POR Tag",Tag should be in normal mode.,,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_16,Initiate a OTA from the Target,Tag is paired,"1. Initiate a process of new firmware available from userver test tool  
2. Check for LED blinks during OTA and after successful OTA. 
3.Verify the updated software on the Tag","
During OTA , both Centrak LED and BLE LED should be in off state and after completion of OTA both Centrak LED and BLE LED should blink once
Tag should update with latest firmware.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_17,Corrupt firmware OTA,Tag is paired,"1. Change few bytes of the firmware 
2. Download Firmware over OTA
3. Check for version no. and user settings","1. Firmware is modified and corrupted
2. Firmware download should not be possible because of checksum mismatch.
3. Version number and setting remain unchanged
4. Tag should not accept corrupted .enc file & Tag should be in normal condition.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_18,check for correct OTA message from / to Tag,Tag is paired,"1. New firmware is made available to USERVER test Tool / Tag
observe for message exchange between Tag and CoreServer.","Once the OTA process is started from the host side, as Tag is in auto poll mode, OTA will be successfully started and no key press is required from Tag side to start the OTA.
",,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_19,To verify the New Image announcement,Tag is paired with Tag/UAPI Test tool ,Provide the new image file for OTA update ,The payload includes the version and product information and the additional information necessary for the Tag to determine if the update is required and can be processed. ,,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_20,To verify OTA CRC Request/Reply,None,During OTA process verify OTA CRC request /reply,"AS the OTA request/reply is part of the internal implementation, if OTA is successful Tag resets and autoreconnects to host and correct SW version displayed means  then this test case should be considered as passed. The internal handshaking between the host and the Tag cannot be verified.",,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_21,To verify OTA CRC Request,Tag is paired,"Provide the new image file for OTA update

Verify the Table.","The OTA CRC request is handled internally and cannot be explicitly tested. If OTA is successful with correct version of SW, then the OTA CRC request is assumed to have matched.",,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_22,To verify  OTA CRC Reply Payload,Tag is paired,"Provide the new image file for OTA update

Verify the Table.","The OTA CRC reply is handled internally and cannot be explicitly tested. If OTA is successful with correct version of SW, then the OTA CRC reply is assumed to have matched.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_23,Verify Out of range during OTA,None,"Initiate OTA download.
During OTA in progress take the Tag out of range and bring it back(Keep the tag in out of range for min of 4hrs).
Observe the Tag behavior.OTA should not be successful. Tag should not hang.",OTA should not be successful. Tag should not hang.,,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_24,Verify the current consumption during OTA,None,Verify the current consumption during OTA and after OTA success.,"Current consumption should be as per the spec.
Tag should go to sleep mode after OTA success.",,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_25,Verify Pairing entry during OTA,None,"Start OTA.
Try to enter Manual pairing.
Observe the Tag behavior.",Tag should NOT cancel OTA on any key press.,,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_26,Check OTA multiple times.,None,Verify OTA multiple times(10 tries),Multiple times OTA update should work.,,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_27,Sanity test of all features after OTA,None,"After a successful OTA operation, test all the supported features on the Tag and verify that each feature is working as expected",All the features should work as per spec even after an OTA update.,,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_28,Boundary voltage OTA operation,None,Keep the voltage at 2.4v VBATT and check if OTA is successful.,"the OTA command will only be accepted if the battery voltage is above critical vg level 

In this case, as the voltage is above warning, the OTA should be successful.

Note: During OTA operation it might be possible that the VDD may dip below the warning voltage as the VBATT is at 2.4v. So it might also be possible that OTA may stop in between if it finds the voltage below warning. ",,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_29,OTA from unpaired mode,None,"Perform an unpair  so that pairing information is lost.
Start the OTA process from target and check the Tag behavior.",The OTA should not start as the Tag is not paired with the target.,,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_30,Impact of pairing/unpair,None,"Perform Pairing operation
Perform OTA
Perform Manual Unpairing operation
Initiate OTA","After pairing if OTA is initiated it should be successful.
In unpaired state OTA cannot be initiated",,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_31,OTA Downgrade,Tag is paired,Perform OTA downgrade from new version to old,OTA should be successful,,,,,,,,,
,Combination,OTA- Over-the-Air Update,OTA_32,OTA after reconnection,Tag Disconnected,"1. Reconnect the Tag
2. After successfll reconnection, initiate OTA","1. Tag should get paged with Star
2. OTA should be successful.",,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_33,Check for Tag behavior after downloading the new FW,Tag is paired,"Initiate FW download from CoreServer/Dongle
Wait for some time
Check for Tag status and verify the versions of previous & new firmware","CoreServer pushes the new firmware on to the Tag upon request
After downloading the new application successfully,  Tag performs a power on reset .
Tag should have new firmware version and the previously done settings should be retained.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_34,FW image is less than internal MCU Flash memory,White box test,"Load the CoreServer with new FW image less than the internal MCU Flash memory
Initiate the new FW image download
Check for the Tag behavior","Tag should get downloaded with new FW image
Tag should resets and loads with default conditions",,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_35,Try to reflash the old say X1 firmware if Tag has already new firmware X2,Tag is paired,"Initiate FW download
Wait for some time
Check for Tag status and verify the versions of firmware.","CoreServer pushes the  firmware on to the Tag upon request
After downloading Tag will POR .
Tag should have old firmware (X1) version on the Tag and all setting should be retained
BLE connection should be established sucessfully.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_36,Corrupted FW image from CoreServer,White box test,"Load CoreServer with corrupted new FW
Initiate new FW download using Select key press on CoreServer
Check for the Tag status","Tag should  get download  new FW image if FW is corrupted
Tag should switch to previous FW version and should retain settings",,,,,,,,,
